Portfolio,Market Condition,Market State,Rebal Type,Rebal Value,TLH Status,Strategy Label,Final NAV,Total Return,CAGR,Volatility (Ann),Sharpe Ratio,Max Drawdown,Return Skewness,Return Kurtosis,Tracking Error (Ann),Information Ratio,Tax Paid,Losses Harvested,TLH Event Count,Execution Costs,Tax Alpha 2,Loss Carryforward ST,Loss Carryforward LT
100/0 (TA ETF),Bear Market,Bear (2007–2008),Absolute Threshold,0.1,Off,Abs Threshold 10% | No TLH,633345.860000,-0.366654,-0.204531,0.318621,-0.641900,-0.540880,0.232300,7.606300,0.000000,0.000000,,,,,,,
100/0 (TA ETF),Bear Market,Bear (2007–2008),Absolute Threshold,0.1,On (10%),Abs Threshold 10% | TLH=10%,624055.670000,-0.375944,-0.210028,0.314991,-0.666800,-0.540790,0.133400,8.733600,0.034920,-0.222400,12059.931416,388609.740000,838.000000,14841.820000,-25983.917343,0.000000,0.000000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Absolute Threshold,0.2,Off,Abs Threshold 20% | No TLH,633345.860000,-0.366654,-0.204531,0.318621,-0.641900,-0.540880,0.232300,7.606300,0.000000,0.000000,,,,,,,
100/0 (TA ETF),Bear Market,Bear (2007–2008),Absolute Threshold,0.2,On (10%),Abs Threshold 20% | TLH=10%,624055.670000,-0.375944,-0.210028,0.314991,-0.666800,-0.540790,0.133400,8.733600,0.034920,-0.222400,12059.931416,388609.740000,838.000000,14841.820000,-25983.917343,0.000000,0.000000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Absolute Threshold,0.05,Off,Abs Threshold 5% | No TLH,633345.860000,-0.366654,-0.204531,0.318621,-0.641900,-0.540880,0.232300,7.606300,0.000000,0.000000,,,,,,,
100/0 (TA ETF),Bear Market,Bear (2007–2008),Absolute Threshold,0.05,On (10%),Abs Threshold 5% | TLH=10%,624055.670000,-0.375944,-0.210028,0.314991,-0.666800,-0.540790,0.133400,8.733600,0.034920,-0.222400,12059.931416,388609.740000,838.000000,14841.820000,-25983.917343,0.000000,0.000000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Calendar,Monthly,Off,Monthly Rebal | No TLH,634979.570000,-0.365020,-0.203504,0.318299,-0.639300,-0.539554,0.230900,7.625800,0.000000,0.000000,,,,,,,
100/0 (TA ETF),Bear Market,Bear (2007–2008),Calendar,Monthly,On (10%),Monthly Rebal | TLH=10%,620443.590000,-0.379556,-0.212318,0.312083,-0.680300,-0.535908,0.159800,8.152500,0.029219,-0.437800,8404.610258,290216.580000,200.000000,14038.880000,-16218.234426,0.000000,0.000000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Calendar,Quarterly,Off,Quarterly Rebal | No TLH,634517.320000,-0.365483,-0.203794,0.317523,-0.641800,-0.539203,0.230800,7.640900,0.000000,0.000000,,,,,,,
100/0 (TA ETF),Bear Market,Bear (2007–2008),Calendar,Quarterly,On (10%),Quarterly Rebal | TLH=10%,631397.460000,-0.368603,-0.205395,0.309268,-0.664100,-0.525670,0.176500,8.411500,0.033494,-0.128600,11814.117673,321799.350000,55.000000,9585.270000,-2185.288935,0.000000,0.000000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Calendar,Yearly,Off,Yearly Rebal | No TLH,635030.740000,-0.364969,-0.203471,0.316428,-0.643000,-0.538969,0.213100,7.501200,0.000000,0.000000,,,,,,,
100/0 (TA ETF),Bear Market,Bear (2007–2008),Calendar,Yearly,On (10%),Yearly Rebal | TLH=10%,641896.050000,-0.358104,-0.198816,0.313646,-0.633900,-0.528740,0.108700,7.982300,0.034708,0.152100,-1050.000000,285319.290000,21.000000,5913.890000,-6777.631683,0.000000,0.000000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Relative Threshold,0.25,Off,Rel Threshold 25% | No TLH,639888.250000,-0.360112,-0.200425,0.317664,-0.630900,-0.537320,0.236800,7.550800,0.000000,0.000000,,,,,,,
100/0 (TA ETF),Bear Market,Bear (2007–2008),Relative Threshold,0.25,On (10%),Rel Threshold 25% | TLH=10%,624055.670000,-0.375944,-0.210028,0.314991,-0.666800,-0.540790,0.133400,8.733600,0.035445,-0.355500,12059.931416,388609.740000,838.000000,14841.820000,-25983.917343,0.000000,0.000000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Relative Threshold,0.5,Off,Rel Threshold 50% | No TLH,633345.860000,-0.366654,-0.204531,0.318621,-0.641900,-0.540880,0.232300,7.606300,0.000000,0.000000,,,,,,,
100/0 (TA ETF),Bear Market,Bear (2007–2008),Relative Threshold,0.5,On (10%),Rel Threshold 50% | TLH=10%,624055.670000,-0.375944,-0.210028,0.314991,-0.666800,-0.540790,0.133400,8.733600,0.034920,-0.222400,12059.931416,388609.740000,838.000000,14841.820000,-25983.917343,0.000000,0.000000
100/0 (TA ETF),Baseline Market,Baseline (2010–2019),Absolute Threshold,0.1,Off,Abs Threshold 10% | No TLH,2492840.480000,1.492840,0.095803,0.152753,0.627200,-0.213739,-0.405200,4.469200,0.000000,0.000000,,,,,,,
100/0 (TA ETF),Baseline Market,Baseline (2010–2019),Absolute Threshold,0.1,On (10%),Abs Threshold 10% | TLH=10%,1812376.250000,0.812376,0.061368,0.147914,0.414900,-0.212160,-0.380300,4.510700,0.018323,-1.777100,199703.249959,444224.250000,1118.000000,90474.750000,33324.089436,0.000000,0.000000
100/0 (TA ETF),Baseline Market,Baseline (2010–2019),Absolute Threshold,0.2,Off,Abs Threshold 20% | No TLH,2492840.480000,1.492840,0.095803,0.152753,0.627200,-0.213739,-0.405200,4.469200,0.000000,0.000000,,,,,,,
100/0 (TA ETF),Baseline Market,Baseline (2010–2019),Absolute Threshold,0.2,On (10%),Abs Threshold 20% | TLH=10%,1812376.250000,0.812376,0.061368,0.147914,0.414900,-0.212160,-0.380300,4.510700,0.018323,-1.777100,199703.249959,444224.250000,1118.000000,90474.750000,33324.089436,0.000000,0.000000
100/0 (TA ETF),Baseline Market,Baseline (2010–2019),Absolute Threshold,0.05,Off,Abs Threshold 5% | No TLH,2407171.430000,1.407171,0.091972,0.152713,0.602300,-0.213739,-0.413200,4.446400,0.000000,0.000000,,,,,,,
100/0 (TA ETF),Baseline Market,Baseline (2010–2019),Absolute Threshold,0.05,On (10%),Abs Threshold 5% | TLH=10%,1812376.250000,0.812376,0.061368,0.147914,0.414900,-0.212160,-0.380300,4.510700,0.016630,-1.746900,199703.249959,444224.250000,1118.000000,90474.750000,33324.089436,0.000000,0.000000
100/0 (TA ETF),Baseline Market,Baseline (2010–2019),Calendar,Monthly,Off,Monthly Rebal | No TLH,2320477.160000,1.320477,0.087967,0.152996,0.575000,-0.215587,-0.412300,4.466600,0.000000,0.000000,,,,,,,
100/0 (TA ETF),Baseline Market,Baseline (2010–2019),Calendar,Monthly,On (10%),Monthly Rebal | TLH=10%,1836178.500000,0.836179,0.062756,0.144038,0.435700,-0.205083,-0.357000,4.181400,0.020454,-1.206600,220692.515713,434796.360000,428.000000,91981.460000,41066.868911,0.000000,0.000000
100/0 (TA ETF),Baseline Market,Baseline (2010–2019),Calendar,Quarterly,Off,Quarterly Rebal | No TLH,2322677.230000,1.322677,0.088071,0.152927,0.575900,-0.215277,-0.413200,4.458800,0.000000,0.000000,,,,,,,
100/0 (TA ETF),Baseline Market,Baseline (2010–2019),Calendar,Quarterly,On (10%),Quarterly Rebal | TLH=10%,1844466.990000,0.844467,0.063235,0.130817,0.483400,-0.190721,-0.419200,3.513300,0.032125,-0.813400,174215.624947,368270.180000,342.000000,51900.460000,-36744.424121,0.000000,0.000000
100/0 (TA ETF),Baseline Market,Baseline (2010–2019),Calendar,Yearly,Off,Yearly Rebal | No TLH,2334135.210000,1.334135,0.088607,0.152838,0.579700,-0.214833,-0.414000,4.442700,0.000000,0.000000,,,,,,,
100/0 (TA ETF),Baseline Market,Baseline (2010–2019),Calendar,Yearly,On (10%),Yearly Rebal | TLH=10%,2036939.140000,1.036939,0.073858,0.132494,0.557400,-0.178716,-0.429500,3.507000,0.029807,-0.551600,101179.542500,193731.080000,22.000000,15622.280000,1391.900069,0.000000,0.000000
100/0 (TA ETF),Baseline Market,Baseline (2010–2019),Relative Threshold,0.25,Off,Rel Threshold 25% | No TLH,2358684.790000,1.358685,0.089748,0.152682,0.587800,-0.213739,-0.412900,4.435100,0.000000,0.000000,,,,,,,
100/0 (TA ETF),Baseline Market,Baseline (2010–2019),Relative Threshold,0.25,On (10%),Rel Threshold 25% | TLH=10%,1812376.250000,0.812376,0.061368,0.147914,0.414900,-0.212160,-0.380300,4.510700,0.016029,-1.684800,199703.249959,444224.250000,1118.000000,90474.750000,33324.089436,0.000000,0.000000
100/0 (TA ETF),Baseline Market,Baseline (2010–2019),Relative Threshold,0.5,Off,Rel Threshold 50% | No TLH,2415346.970000,1.415347,0.092343,0.152714,0.604700,-0.213739,-0.413200,4.443800,0.000000,0.000000,,,,,,,
100/0 (TA ETF),Baseline Market,Baseline (2010–2019),Relative Threshold,0.5,On (10%),Rel Threshold 50% | TLH=10%,1812376.250000,0.812376,0.061368,0.147914,0.414900,-0.212160,-0.380300,4.510700,0.016695,-1.760400,199703.249959,444224.250000,1118.000000,90474.750000,33324.089436,0.000000,0.000000
100/0 (TA ETF),Bull Market,Bull (2023–2024),Absolute Threshold,0.1,Off,Abs Threshold 10% | No TLH,1488040.210000,0.488040,0.220819,0.128106,1.723700,-0.104589,-0.274900,0.529200,0.000000,0.000000,,,,,,,
100/0 (TA ETF),Bull Market,Bull (2023–2024),Absolute Threshold,0.1,On (10%),Abs Threshold 10% | TLH=10%,1322422.850000,0.322423,0.150607,0.122963,1.224800,-0.102404,-0.206300,0.502700,0.021543,-2.758800,93497.602563,33582.850000,0.000000,19485.580000,2334.115909,0.000000,0.000000
100/0 (TA ETF),Bull Market,Bull (2023–2024),Absolute Threshold,0.2,Off,Abs Threshold 20% | No TLH,1488040.210000,0.488040,0.220819,0.128106,1.723700,-0.104589,-0.274900,0.529200,0.000000,0.000000,,,,,,,
100/0 (TA ETF),Bull Market,Bull (2023–2024),Absolute Threshold,0.2,On (10%),Abs Threshold 20% | TLH=10%,1322422.850000,0.322423,0.150607,0.122963,1.224800,-0.102404,-0.206300,0.502700,0.021543,-2.758800,93497.602563,33582.850000,0.000000,19485.580000,2334.115909,0.000000,0.000000
100/0 (TA ETF),Bull Market,Bull (2023–2024),Absolute Threshold,0.05,Off,Abs Threshold 5% | No TLH,1488040.210000,0.488040,0.220819,0.128106,1.723700,-0.104589,-0.274900,0.529200,0.000000,0.000000,,,,,,,
100/0 (TA ETF),Bull Market,Bull (2023–2024),Absolute Threshold,0.05,On (10%),Abs Threshold 5% | TLH=10%,1322422.850000,0.322423,0.150607,0.122963,1.224800,-0.102404,-0.206300,0.502700,0.021543,-2.758800,93497.602563,33582.850000,0.000000,19485.580000,2334.115909,0.000000,0.000000
