Category,Model Family,Portfolio,Equity Allocation,Market Condition,Market State,Rebal Type,Rebal Value,TLH Status,Strategy Label,Final NAV,Total Return,CAGR,Volatility (Ann),Sharpe Ratio,Max Drawdown,Return Skewness,Return Kurtosis,Tracking Error (Ann),Information Ratio,Tax Paid,Realized Losses (All),TLH Losses,Rebal Losses,TLH Event Count,Execution Costs,Tax Alpha 2,Loss Carryforward ST,Loss Carryforward LT,Liquidation NAV,Unrealized Gain ST,Unrealized Gain LT,Liquidation Tax,Liquidation Exec Cost
Equity-Heavy,FFG Qualified,FFG Qualified - 100-0,0.880000,Bear Market,Bear (2007–2008),Absolute Threshold,0.05,Off,Abs Threshold 5% | No TLH,598133.220000,-0.401867,-0.227004,0.317723,-0.714500,-0.549971,-0.022800,6.123300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1198.560000,,0.000000,0.000000,598465.460000,0.000000,-400668.220000,-1050.000000,717.760000
Equity-Heavy,FFG Qualified,FFG Qualified - 100-0,0.880000,Bear Market,Bear (2007–2008),Absolute Threshold,0.1,Off,Abs Threshold 10% | No TLH,598133.220000,-0.401867,-0.227004,0.317723,-0.714500,-0.549971,-0.022800,6.123300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1198.560000,,0.000000,0.000000,598465.460000,0.000000,-400668.220000,-1050.000000,717.760000
Equity-Heavy,FFG Qualified,FFG Qualified - 100-0,0.880000,Bear Market,Bear (2007–2008),Absolute Threshold,0.2,Off,Abs Threshold 20% | No TLH,598133.220000,-0.401867,-0.227004,0.317723,-0.714500,-0.549971,-0.022800,6.123300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1198.560000,,0.000000,0.000000,598465.460000,0.000000,-400668.220000,-1050.000000,717.760000
Equity-Heavy,FFG Qualified,FFG Qualified - 100-0,0.880000,Bear Market,Bear (2007–2008),Absolute Threshold,0.05,On (10%),Abs Threshold 5% | TLH=10%,603851.920000,-0.396148,-0.223310,0.318559,-0.701000,-0.545245,-0.009400,6.252300,0.008419,0.383600,-2100.000000,80196.340000,80196.338882,0.000000,12,2641.530000,5718.706543,8607.201664,0.000000,603128.560000,4525.840000,-319936.050000,0.000000,723.360000
Equity-Heavy,FFG Qualified,FFG Qualified - 100-0,0.880000,Bear Market,Bear (2007–2008),Absolute Threshold,0.1,On (10%),Abs Threshold 10% | TLH=10%,603851.920000,-0.396148,-0.223310,0.318559,-0.701000,-0.545245,-0.009400,6.252300,0.008419,0.383600,-2100.000000,80196.340000,80196.338882,0.000000,12,2641.530000,5718.706543,8607.201664,0.000000,603128.560000,4525.840000,-319936.050000,0.000000,723.360000
Equity-Heavy,FFG Qualified,FFG Qualified - 100-0,0.880000,Bear Market,Bear (2007–2008),Absolute Threshold,0.2,On (10%),Abs Threshold 20% | TLH=10%,603851.920000,-0.396148,-0.223310,0.318559,-0.701000,-0.545245,-0.009400,6.252300,0.008419,0.383600,-2100.000000,80196.340000,80196.338882,0.000000,12,2641.530000,5718.706543,8607.201664,0.000000,603128.560000,4525.840000,-319936.050000,0.000000,723.360000
Equity-Heavy,FFG Qualified,FFG Qualified - 100-0,0.880000,Bear Market,Bear (2007–2008),Calendar,Monthly,Off,Monthly Rebal | No TLH,595547.640000,-0.404452,-0.228680,0.321438,-0.711400,-0.554000,-0.029700,6.010100,0.000000,0.000000,-720.943039,13761.390000,0.000000,13761.389672,0,1413.510000,,0.000000,0.000000,594834.240000,-7520.760000,-383967.750000,0.000000,713.400000
Equity-Heavy,FFG Qualified,FFG Qualified - 100-0,0.880000,Bear Market,Bear (2007–2008),Calendar,Quarterly,Off,Quarterly Rebal | No TLH,595842.250000,-0.404158,-0.228489,0.321071,-0.711600,-0.553021,-0.032600,6.017900,0.000000,0.000000,-530.333304,3610.210000,0.000000,3610.206279,0,1320.630000,,0.000000,0.000000,595329.700000,-6529.120000,-394630.180000,-201.440000,713.990000
Equity-Heavy,FFG Qualified,FFG Qualified - 100-0,0.880000,Bear Market,Bear (2007–2008),Calendar,Yearly,Off,Yearly Rebal | No TLH,595255.550000,-0.404744,-0.228870,0.319851,-0.715600,-0.552473,-0.028800,6.069300,0.000000,0.000000,286.956900,44.190000,0.000000,44.192607,0,1237.130000,,0.000000,0.000000,595877.850000,-8307.810000,-395732.430000,-1336.960000,714.650000
Equity-Heavy,FFG Qualified,FFG Qualified - 100-0,0.880000,Bear Market,Bear (2007–2008),Calendar,Monthly,On (10%),Monthly Rebal | TLH=10%,597195.060000,-0.402805,-0.227612,0.320741,-0.709600,-0.553725,-0.041200,5.936900,0.006579,0.091900,-2100.000000,101284.500000,92596.268763,8688.227867,63,2464.320000,1647.426059,2832.598171,0.000000,596479.690000,6344.570000,-309236.100000,0.000000,715.370000
Equity-Heavy,FFG Qualified,FFG Qualified - 100-0,0.880000,Bear Market,Bear (2007–2008),Calendar,Quarterly,On (10%),Quarterly Rebal | TLH=10%,596626.610000,-0.403373,-0.227980,0.322320,-0.707300,-0.549679,-0.004000,6.139800,0.008406,0.005300,-2100.000000,91574.680000,89771.002427,1803.681565,53,2809.890000,784.358314,9601.759719,0.000000,595911.910000,2191.980000,-314995.820000,0.000000,714.690000
