Portfolio,Market Condition,Market State,Rebal Type,Rebal Value,TLH Status,Strategy Label,Final NAV,Total Return,CAGR,Volatility (Ann),Sharpe Ratio,Max Drawdown,Return Skewness,Return Kurtosis,Tracking Error (Ann),Information Ratio,Tax Paid,Realized Losses (All),TLH Losses,Rebal Losses,TLH Event Count,Execution Costs,Tax Alpha 2,Loss Carryforward ST,Loss Carryforward LT,Liquidation NAV,Unrealized Gain ST,Unrealized Gain LT,Liquidation Tax,Liquidation Exec Cost
100/0 (TA ETF),Bear Market,Bear (2007–2008),Absolute Threshold,0.1,Off,Abs Threshold 10% | No TLH,620986.240000,-0.379014,-0.235093,0.333138,-0.705700,-0.540757,0.260900,6.901200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1198.560000,,0.000000,0.000000,621291.050000,0.000000,-377815.200000,-1050.000000,745.180000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Absolute Threshold,0.1,On (10%),Abs Threshold 10% | TLH=10%,619673.870000,-0.380326,-0.236003,0.333013,-0.708700,-0.534368,0.239000,7.701800,0.030747,-0.046400,-1050.000000,360305.740000,360305.737945,0.000000,28,6249.970000,-1312.366847,0.000000,0.000000,618931.520000,42315.740000,-57136.160000,0.000000,742.350000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Absolute Threshold,0.2,Off,Abs Threshold 20% | No TLH,620986.240000,-0.379014,-0.235093,0.333138,-0.705700,-0.540757,0.260900,6.901200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1198.560000,,0.000000,0.000000,621291.050000,0.000000,-377815.200000,-1050.000000,745.180000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Absolute Threshold,0.2,On (10%),Abs Threshold 20% | TLH=10%,619673.870000,-0.380326,-0.236003,0.333013,-0.708700,-0.534368,0.239000,7.701800,0.030747,-0.046400,-1050.000000,360305.740000,360305.737945,0.000000,28,6249.970000,-1312.366847,0.000000,0.000000,618931.520000,42315.740000,-57136.160000,0.000000,742.350000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Absolute Threshold,0.05,Off,Abs Threshold 5% | No TLH,620986.240000,-0.379014,-0.235093,0.333138,-0.705700,-0.540757,0.260900,6.901200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1198.560000,,0.000000,0.000000,621291.050000,0.000000,-377815.200000,-1050.000000,745.180000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Absolute Threshold,0.05,On (10%),Abs Threshold 5% | TLH=10%,619673.870000,-0.380326,-0.236003,0.333013,-0.708700,-0.534368,0.239000,7.701800,0.030747,-0.046400,-1050.000000,360305.740000,360305.737945,0.000000,28,6249.970000,-1312.366847,0.000000,0.000000,618931.520000,42315.740000,-57136.160000,0.000000,742.350000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Calendar,Monthly,Off,Monthly Rebal | No TLH,622129.290000,-0.377871,-0.234301,0.332887,-0.703800,-0.540407,0.260000,6.921800,0.000000,0.000000,583.935265,11371.790000,0.000000,11371.789973,0,1498.470000,,0.000000,0.000000,621384.000000,-11915.190000,-358362.180000,0.000000,745.300000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Calendar,Monthly,On (10%),Monthly Rebal | TLH=10%,647236.260000,-0.352764,-0.217070,0.325454,-0.667000,-0.521736,0.271600,7.852200,0.038351,0.435800,583.935265,279032.990000,249286.203759,29746.787171,101,7203.880000,25106.964808,0.000000,0.000000,646460.830000,-21127.370000,-57034.110000,0.000000,775.420000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Calendar,Quarterly,Off,Quarterly Rebal | No TLH,621314.620000,-0.378685,-0.234866,0.332025,-0.707400,-0.539797,0.260200,6.939300,0.000000,0.000000,1014.287106,4323.460000,0.000000,4323.455210,0,1349.810000,,0.000000,0.000000,621423.620000,-9117.280000,-367371.200000,-854.340000,745.340000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Calendar,Quarterly,On (10%),Quarterly Rebal | TLH=10%,614683.350000,-0.385317,-0.239470,0.331576,-0.722200,-0.539741,0.229700,7.477200,0.027315,-0.187500,15.208061,378268.700000,338212.658027,40056.042869,62,9680.580000,-6631.270734,0.000000,0.000000,613946.990000,19111.010000,-59170.790000,0.000000,736.360000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Calendar,Yearly,Off,Yearly Rebal | No TLH,620976.520000,-0.379023,-0.235100,0.330775,-0.710800,-0.538980,0.243600,6.819800,0.000000,0.000000,1551.606701,0.000000,0.000000,0.000000,0,1263.100000,,0.000000,0.000000,622831.100000,-10795.430000,-369846.500000,-2601.610000,747.030000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Calendar,Yearly,On (10%),Yearly Rebal | TLH=10%,625671.770000,-0.374328,-0.231852,0.331368,-0.699700,-0.529632,0.229900,7.560300,0.028402,0.096200,-1050.000000,336231.940000,336231.941521,0.000000,42,6226.920000,4695.250689,0.000000,0.000000,624922.230000,19783.640000,-57136.160000,0.000000,749.550000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Relative Threshold,0.25,Off,Rel Threshold 25% | No TLH,625589.770000,-0.374410,-0.231909,0.333288,-0.695800,-0.538499,0.272800,6.968200,0.000000,0.000000,-675.084691,8360.560000,0.000000,8360.563628,0,1339.450000,,0.000000,0.000000,625214.780000,-8345.580000,-363471.480000,-374.920000,749.900000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Relative Threshold,0.25,On (10%),Rel Threshold 25% | TLH=10%,633517.720000,-0.366482,-0.226448,0.331524,-0.683100,-0.531560,0.155100,7.141000,0.030317,0.163000,-1050.000000,339189.400000,274057.043334,65132.360926,26,7519.930000,7927.952910,0.000000,0.000000,632758.760000,-2881.110000,-57136.160000,0.000000,758.960000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Relative Threshold,0.5,Off,Rel Threshold 50% | No TLH,620986.240000,-0.379014,-0.235093,0.333138,-0.705700,-0.540757,0.260900,6.901200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1198.560000,,0.000000,0.000000,621291.050000,0.000000,-377815.200000,-1050.000000,745.180000
100/0 (TA ETF),Bear Market,Bear (2007–2008),Relative Threshold,0.5,On (10%),Rel Threshold 50% | TLH=10%,619673.870000,-0.380326,-0.236003,0.333013,-0.708700,-0.534368,0.239000,7.701800,0.030747,-0.046400,-1050.000000,360305.740000,360305.737945,0.000000,28,6249.970000,-1312.366847,0.000000,0.000000,618931.520000,42315.740000,-57136.160000,0.000000,742.350000
100/0 (TA ETF),Baseline Market,Baseline (2010–2019),Absolute Threshold,0.1,Off,Abs Threshold 10% | No TLH,1186105.660000,0.186106,0.083388,0.144345,0.577700,-0.199073,-0.554600,3.293700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1198.560000,,0.000000,0.000000,1147221.490000,0.000000,187304.230000,37460.850000,1423.330000
100/0 (TA ETF),Baseline Market,Baseline (2010–2019),Absolute Threshold,0.1,On (10%),Abs Threshold 10% | TLH=10%,1176581.570000,0.176582,0.079297,0.143418,0.552900,-0.200914,-0.570000,3.295500,0.004184,-1.123400,-1050.000000,48396.510000,48396.507254,0.000000,5,2178.530000,-9524.092742,0.000000,0.000000,1138578.910000,0.000000,226106.600000,36592.020000,1410.640000
