Portfolio,Market State,Rebal Type,Rebal Value,Strategy,NoTLH_Final_NAV,NoTLH_Liq_NAV,TLH_Final_NAV,TLH_Liq_NAV,Pre_Liq_TaxAlpha,Post_Liq_TaxAlpha,TLH_Events,ExecCost_NoTLH,ExecCost_TLH,LiqTax_NoTLH,LiqTax_TLH
100/0 (TA ETF),Baseline (2010–2019),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,1186105.66,1147221.49,1176581.57,1138578.91,-9524.089999999851,-8642.580000000075,5,1198.56,2178.53,37460.85,36592.02
100/0 (TA ETF),Baseline (2010–2019),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,1186105.66,1147221.49,1176581.57,1138578.91,-9524.089999999851,-8642.580000000075,5,1198.56,2178.53,37460.85,36592.02
100/0 (TA ETF),Baseline (2010–2019),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,1186105.66,1147221.49,1176581.57,1138578.91,-9524.089999999851,-8642.580000000075,5,1198.56,2178.53,37460.85,36592.02
100/0 (TA ETF),Baseline (2010–2019),Calendar,Monthly,Monthly Rebal | No TLH,1177449.97,1140487.84,1171174.35,1132384.96,-6275.619999999879,-8102.880000000121,24,1516.81,2572.08,35548.0,37384.27
100/0 (TA ETF),Baseline (2010–2019),Calendar,Quarterly,Quarterly Rebal | No TLH,1178421.58,1141481.27,1170579.39,1130364.75,-7842.190000000177,-11116.520000000019,18,1378.5,2448.31,35525.64,38811.21
100/0 (TA ETF),Baseline (2010–2019),Calendar,Yearly,Yearly Rebal | No TLH,1181633.73,1143103.29,1172257.79,1133450.73,-9375.939999999944,-9652.560000000056,12,1270.28,2265.76,37112.51,37400.49
100/0 (TA ETF),Baseline (2010–2019),Relative Threshold,0.25,Rel Threshold 25% | No TLH,1183966.24,1145574.3,1174404.03,1136829.73,-9562.209999999963,-8744.570000000065,12,1218.83,2227.32,36970.97,36166.27
100/0 (TA ETF),Baseline (2010–2019),Relative Threshold,0.5,Rel Threshold 50% | No TLH,1181067.15,1143765.06,1173952.58,1134024.26,-7114.569999999832,-9740.800000000047,8,1289.58,2325.8,35882.9,38521.81
2-ETF (IVV/EFA),Baseline (2010–2019),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,1144596.37,1114063.87,1152229.2,1119154.13,7632.829999999842,5090.2599999997765,1,1198.56,2039.08,29158.99,31693.66
2-ETF (IVV/EFA),Baseline (2010–2019),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,1144596.37,1114063.87,1152229.2,1119154.13,7632.829999999842,5090.2599999997765,1,1198.56,2039.08,29158.99,31693.66
2-ETF (IVV/EFA),Baseline (2010–2019),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,1144596.37,1114063.87,1152229.2,1119154.13,7632.829999999842,5090.2599999997765,1,1198.56,2039.08,29158.99,31693.66
2-ETF (IVV/EFA),Baseline (2010–2019),Calendar,Monthly,Monthly Rebal | No TLH,1137527.74,1108642.94,1147738.1,1104144.45,10210.360000000102,-4498.489999999991,5,1468.25,2317.04,27518.8,42217.25
2-ETF (IVV/EFA),Baseline (2010–2019),Calendar,Quarterly,Quarterly Rebal | No TLH,1138151.08,1109333.7,1147368.51,1107890.22,9217.429999999935,-1443.4799999999814,4,1340.99,2273.79,27451.23,38101.0
2-ETF (IVV/EFA),Baseline (2010–2019),Calendar,Yearly,Yearly Rebal | No TLH,1140887.83,1110199.22,1148674.67,1116502.89,7786.839999999851,6303.6699999999255,3,1273.19,2142.1,29319.89,30793.73
2-ETF (IVV/EFA),Baseline (2010–2019),Relative Threshold,0.25,Rel Threshold 25% | No TLH,1140328.21,1111196.14,1150676.25,1117877.71,10348.040000000037,6681.570000000065,2,1293.3,2218.72,27761.86,31418.99
